Request,Tiempo Actualizar,Tiempo Llave
1,204,844
2,204,828
3,204,843
4,251,812
5,235,828
6,251,828
7,251,843
8,282,875
9,219,219
10,203,219
11,219,265
12,203,469
13,189,202
14,189,202
15,204,203
16,203,218
17,188,203
18,218,531
19,187,203
20,203,202
21,203,219
22,203,624
23,204,218
24,203,203
25,203,673
26,203,282
27,184,203
28,204,204
29,187,219
30,204,203
31,203,312
32,203,218
33,203,203
34,202,297
35,203,203
36,203,203
37,188,595
38,203,202
39,189,204
40,188,203
41,204,296
42,189,390
43,203,423
44,190,328
45,203,253
46,189,219
47,203,345
48,187,203
49,203,204
50,203,265
51,187,203
52,219,204
53,189,218
54,205,202
55,187,203
56,204,219
57,219,344
58,212,297
59,203,197
60,203,202
61,202,221
62,202,190
63,203,205
64,203,189
65,204,203
66,203,220
67,199,206
68,203,205
69,189,203
70,203,548
71,189,203
72,205,218
73,206,219
74,203,203
75,218,220
76,202,188
77,203,219
78,203,203
79,188,203
80,188,296
81,221,904
82,189,546
83,203,218
84,203,202
85,205,219
86,203,234
87,203,313
88,188,203
89,204,204
90,205,470
91,203,407
92,219,328
93,203,203
94,204,203
95,204,218
96,188,203
97,188,359
98,204,202
99,173,218
100,203,202
101,187,562
102,202,359
103,203,204
104,203,218
105,203,203
106,172,220
107,203,235
108,204,203
109,187,203
110,203,202
111,203,204
112,203,203
113,203,203
114,187,204
115,202,454
116,202,203
117,220,188
118,203,205
119,205,219
120,205,203
121,205,203
122,203,197
123,203,202
124,218,390
125,203,204
126,203,203
127,203,298
128,203,218
129,203,203
130,203,203
131,203,218
132,203,267
