Request,Tiempo Actualizar,Tiempo Llave
1,2592,1865
2,3856,2410
3,2373,1696
4,3325,2313
5,4377,1222
6,3132,2449
7,3809,2738
8,5049,2480
9,4008,2234
10,5191,1786
11,2994,1893
12,3308,1004
13,3417,3070
14,3044,1584
15,3025,2743
16,5110,1130
17,2501,2216
18,4655,1335
19,4117,1416
20,3801,1803
21,3635,2226
22,3855,2390
23,3080,1901
24,4348,2530
25,2987,2647
26,3721,2333
27,5008,2530
28,2373,3102
29,4781,1664
30,2618,1023
31,4243,1853
32,4195,2383
33,4486,2447
34,3672,2724
35,3141,1455
36,3349,2311
37,4679,2137
38,3035,1488
39,3378,1313
40,3491,2023
41,3820,1884
42,2858,1781
43,3826,1865
44,4811,1352
45,3699,1473
46,4839,2423
47,3801,1746
48,3806,1850
49,2169,1101
50,4693,1348
51,2473,2049
52,3244,1773
53,3183,2809
54,4640,1629
55,3182,2302
56,4040,2296
57,4342,3010
58,4685,1537
59,2334,2512
60,4944,1997
61,2544,2110
62,4079,2888
63,5117,2236
64,3572,1926
65,2172,1260
66,4733,2400
67,4324,3069
68,3959,1547
69,2953,2912
70,5131,2326
71,3677,2840
72,4389,1040
73,3081,1200
74,4392,2594
75,4023,2120
76,4850,1976
77,3391,2696
78,3464,2025
79,4832,1947
80,2474,1787
81,3522,2298
82,4287,2430
83,4874,1295
84,2218,2722
85,4051,1938
86,4147,2527
87,2218,1401
88,3511,1512
89,5124,1421
90,5122,2918
91,2309,2016
92,4044,2633
93,2709,2133
94,3985,1898
95,5031,1135
96,4709,1313
97,4992,1697
98,2272,2531
99,2261,1093
100,3783,1462
101,3066,2345
102,2850,1999
103,2879,1875
104,4661,1129
105,4911,2592
106,3324,1520
107,4436,2619
108,3998,1572
109,4594,2018
110,2128,1856
111,2652,2404
112,2119,1267
113,5010,2600
114,2348,1451
115,3512,1317
116,4899,2515
117,3023,2985
118,2934,2068
119,3414,1559
120,2776,2213
121,3336,1356
122,2837,3057
123,2653,2358
124,2735,2475
125,4432,1393
126,3941,2147
127,3314,1649
128,2253,1408
129,5048,1336
130,4019,1714
131,3295,2171
132,3261,2644
133,3683,3027
134,3261,2538
135,4011,1117
136,3576,1712
137,2122,1961
138,3234,2704
139,3708,2696
140,3339,1751
141,3383,1408
142,3374,2490
143,4921,2748
144,3879,2416
145,2206,1914
146,3751,1786
147,2893,1417
148,4766,1870
149,2976,2931
150,3981,1944
151,2162,2157
152,4384,3148
153,2686,3125
154,2148,1152
155,2611,1183
156,4570,2089
157,3094,1151
158,2245,1081
159,3754,2446
160,5245,2224
161,3649,1418
162,3915,2293
163,2844,2044
164,2727,3128
165,2289,2339
166,3935,2270
167,2503,1272
168,2859,2004
169,4236,2144
170,5244,1773
171,3692,3159
172,3359,1047
173,4388,2389
174,3042,2174
175,3712,2325
176,3637,3082
177,2949,2913
178,2799,1269
179,4210,1776
180,2901,1744
181,4047,2830
182,4288,2048
183,2704,1249
184,2917,3057
185,4173,1347
186,3211,2898
187,4220,2203
188,4884,2090
189,3252,3095
190,4313,2931
191,3424,2452
192,3033,2501
193,4026,1367
194,4899,2859
195,3263,2322
196,3915,2188
197,4929,1638
198,2982,2379
199,4514,1241
200,4497,1349
201,3808,2840
202,4589,2045
203,5214,1338
204,4672,2904
205,3102,1466
206,2201,2172
207,2122,2647
208,5193,2352
209,3705,2625
210,4110,1835
211,5159,2355
212,3569,1452
213,2855,2791
214,5207,2639
215,4287,3148
216,3211,1639
217,3441,2157
218,4224,3120
219,4157,3155
220,2087,2180
221,4115,1479
222,2618,2137
223,3224,1935
224,2495,3010
225,4937,1255
226,3437,1022
227,4775,2894
228,2829,2466
229,5126,1095
230,4802,1171
231,4429,1145
232,2965,1654
233,3444,1239
234,3026,1104
235,2769,1051
236,3663,2515
237,3990,1823
238,4329,1300
239,3194,1693
240,4869,1921
241,2877,1602
242,3726,2069
243,3448,2272
244,5128,2590
245,3667,3030
246,3093,2066
247,2629,2687
248,4723,1662
249,4304,2977
250,5280,2561
251,4214,2152
252,3671,2856
253,5097,2778
254,4527,1274
255,4435,2311
256,3974,2895
257,2106,1580
258,4759,2911
259,3860,2219
260,4623,1403
261,4537,2064
262,2931,1791
263,2818,2407
264,3345,2326
265,3510,1734
266,3363,2761
267,4196,1443
268,5117,2375
269,2306,3057
270,5288,1464
271,2649,2520
272,4906,2761
273,4753,2568
274,4520,2227
275,2208,3128
276,4092,2868
277,2726,2007
278,4909,2213
279,4497,2725
280,2752,2898
281,3587,2438
282,4406,2484
283,5176,1310
284,3169,1177
285,5251,1824
286,4557,1991
287,3788,2837
288,3310,2717
289,2149,1111
290,2174,1208
291,2791,2413
292,4799,3107
293,4402,1667
294,2353,3157
295,4866,1703
296,4047,2431
297,4329,1245
298,4701,2761
299,4368,2044
300,4906,1180
301,4079,2255
302,3663,2140
303,4410,1375
304,2822,2292
305,2214,1812
306,4063,2654
307,2760,1515
308,5197,2598
309,4013,1440
310,4928,1843
311,5064,1245
312,4913,995
313,2854,3072
314,3044,2099
315,2538,2656
316,4360,2235
317,3066,3083
318,2142,2109
319,3756,3015
,,
320,2245,2321
321,5103,2932
322,3384,2185
323,4932,2474
324,4888,2236
325,4902,1690
326,3864,1757
327,4426,3088
328,2208,2799
329,2487,2196
330,5166,2420
331,4742,1236
332,4127,1195
333,4500,2990
334,3300,2333
335,2229,2174
336,2990,2787
337,4277,2837
338,2092,3126
339,3407,1556
340,4813,1272
341,5136,2361
342,3826,2520
343,3026,2510
344,3369,1911
345,2497,2022
346,2399,1030
347,4809,1692
348,3329,2060
349,4800,2648
350,3078,1086
351,3323,1514
352,5144,2565
353,4934,1093
354,4710,2590
355,4095,1007
356,3863,2126
357,3376,1785
358,3155,1826
359,3809,1649
360,4882,1856
361,3546,3011
362,2583,2969
363,4439,2220
364,3204,1286
365,2992,1103
366,4881,2575
367,4440,1125
368,4012,2047
369,5039,2948
370,3103,2075
371,2274,2207
372,2117,3100
373,3381,1185
374,4834,1363
375,2940,1567
376,2206,2716
377,3369,1475
378,2889,2824
379,5175,1298
380,3307,1583
381,2715,1615
382,4570,1675
383,4371,2953
384,5289,1612
385,3016,2411
386,2911,2615
387,3597,1236
388,4431,1445
389,2918,2971
390,2736,2024
391,5216,2704
392,4665,1570
393,4254,2503
394,4227,1342
395,2358,1829
396,2956,1278
397,2228,1134
398,3752,1851
399,2395,1417
400,3185,1423
401,4410,2415
402,4092,1621
403,2994,1232
404,2822,2024
405,3785,2302
406,2712,1472
407,3188,2514
408,3659,1689
409,3569,1731
410,3434,2032
411,4273,2765
412,4499,998
413,3615,2670
414,5015,3111
415,4990,2242
416,2545,2313
417,2645,1585
418,3869,2706
419,4642,2201
420,4624,1428
421,3276,2223
422,3693,1279
423,4412,1489
424,3856,1982
425,3461,2030
426,2583,2266
427,4169,2456
428,4702,3110
429,3927,2060
430,3490,2803
431,2691,1640
432,3879,1571
433,2820,1022
434,3547,1092
435,2226,2789
436,3306,2108
437,5289,1996
438,4258,2346
439,3349,1271
440,3525,2098
441,2837,1869
442,4597,2898
443,5244,2590
444,3276,2476
445,3572,1326
446,4014,1640
447,3066,2635
448,5076,3082
449,3905,2498
450,3401,1211
451,4366,1863
452,4555,1463
453,5168,1241
454,3968,2116
455,3121,1346
456,2844,2733
457,3589,1776
458,4268,2734
459,2827,1022
460,4514,1867
461,2526,1285
462,2531,2601
463,4906,3079
464,2947,2985
465,4126,1894
466,2532,3146
467,4463,2519
468,2396,1176
469,4233,2164
470,4677,1943
471,3465,2830
472,2187,2038
473,4903,2574
474,4436,1182
475,4689,3066
476,3405,2270
477,4056,2504
478,2579,2579
479,4748,2851
480,4803,1597
481,5113,2688
482,4598,2758
483,5064,2049
484,3581,1183
485,3130,2369
486,4806,3078
487,2545,2357
488,3711,2508
489,4318,2705
490,2908,2384
491,5087,2013
492,2461,2398
493,4191,2931
494,3434,1349
495,4711,1975
496,3491,2845
497,2138,2312
498,2684,2719
499,3452,3017
500,4596,1019
501,5019,2431
502,4524,2712
503,2711,2859
504,4860,1464
505,2264,1883
506,4254,3140
507,4884,1445
508,2659,2133
509,3241,1707
510,5273,1743
511,4646,1477
512,3918,2159
513,3698,2587
514,3894,2764
515,3084,2033
516,4145,1894
517,4331,2703
518,3325,2003
519,3181,2700
520,2719,1101
521,3647,1900
522,3473,1611
523,4521,1057
524,5291,2611
525,4464,2151
526,4066,1805
527,2384,2301
528,4176,2629
529,3379,3112
530,2732,1641
531,2428,2107
532,2708,2984
533,5287,2666
534,4011,2343
535,2417,1806
536,4130,1118
537,3160,2572
538,2505,1267
539,3915,2473
540,4729,2828
541,2888,2516
542,4289,1460
543,2656,1070
544,2595,2833
545,4535,1823
546,2143,1765
547,4219,2233
548,5223,2821
549,5123,1855
550,4486,2268
551,4841,1957
552,5090,2785
553,3327,2361
554,4060,1151
555,2889,2701
556,4352,2950
557,4054,1229
558,3551,2830
559,3462,1206
560,2139,1224
561,2408,2997
562,3231,1582
563,5234,2954
564,2785,2520
565,5234,2060
566,5254,1245
567,5259,2744
568,3595,1351
569,3487,1527
570,4431,1221
571,2701,1855
572,4950,2450
573,2873,2563
574,2101,1865
575,4379,2462
576,2628,1769
577,3533,2494
578,4937,1165
579,5260,2569
580,3161,2371
581,5126,2429
582,2702,1829
583,3306,2708
584,2126,1777
585,2653,1929
586,4389,1517
587,4150,1588
588,4900,2082
589,2215,2226
590,4638,2024
591,4235,2149
592,3259,2201
593,3834,2288
594,4480,1711
595,2688,1404
596,2454,1466
597,2483,2375
598,3047,3106
599,3673,2956
600,2090,1665
601,3135,1613
602,5274,1232
603,4286,2394
604,3404,1418
605,5266,2574
606,3104,1640
607,4583,3125
608,3218,1717
609,4713,2559
610,4662,1545
611,3906,2362
612,5163,1583
613,4301,2779
614,4495,2957
615,5180,1077
616,3319,2284
617,4656,1627
618,3560,1706
619,4005,1658
620,4156,2488
621,4759,1327
622,2609,1458
623,4666,1559
624,4309,1340
625,5247,2244
626,5278,2139
627,2371,1618
628,2624,2505
629,2596,1058
630,4607,2647
631,2291,2879
632,3690,1325
633,4530,2132
634,2375,1334
635,4981,2030
636,3933,2929
637,2536,3145
638,3523,2611
639,4584,1907
640,3483,1311
641,2400,1455
642,4591,1369
643,2930,2772
644,3142,2545
645,3102,2283
646,2168,1340
647,3263,1176
,,
648,2383,2768
649,4159,3103
650,3939,2454
651,3960,2548
652,2878,2452
653,2539,2656
654,4681,1608
655,4001,1990
656,4271,1581
657,3040,2448
658,2795,1656
659,4438,2057
660,2873,1625
661,4680,3157
662,4529,1266
663,2834,2205
664,5009,1844
665,4332,1471
666,3262,2910
667,3152,2170
668,4166,2965
669,3763,1982
670,3142,2147
671,3502,2820
672,2459,2497
673,3126,2379
674,4593,1094
675,2702,3096
676,4839,1490
677,3170,2751
678,2232,1987
679,3070,1537
680,3875,1595
681,2670,1269
682,2825,2489
683,4032,3083
684,2370,3037
685,4715,2307
686,3181,1143
687,4352,2094
688,3343,1434
689,4098,1778
690,4300,3037
691,4957,2145
692,3419,2284
693,3085,2396
694,2212,3113
695,3754,1338
696,3836,1904
697,2529,2481
698,4753,1757
699,3056,1990
700,4159,1044
701,5146,1318
702,4004,1896
703,5223,2623
