Request,Tiempo Actualizar,Tiempo Llave
1,218,222
2,218,207
3,219,234
4,234,266
5,203,218
6,205,312
7,202,219
8,218,219
9,219,218
10,189,203
11,203,234
12,203,202
13,203,249
14,220,168
15,212,200
16,217,454
17,218,203
18,205,218
19,202,250
20,203,281
21,218,205
22,224,462
23,218,204
24,218,204
25,204,203
26,221,203
27,208,206
28,216,230
29,214,200
30,221,200
31,205,177
32,216,200
33,215,200
34,204,203
35,203,218
36,215,171
37,215,558
38,230,200
39,222,222
40,214,250
41,221,208
42,219,200
43,212,200
44,217,611
45,212,200
46,228,200
47,207,200
48,211,622
49,209,375
50,212,367
51,209,219
52,208,205
53,217,174
54,209,200
55,229,228
56,205,453
57,187,220
58,215,200
59,218,200
60,236,208
61,179,238
62,204,188
63,204,219
64,220,203
65,221,235
66,205,203
67,203,203
68,203,218
69,202,203
70,202,203
71,234,297
72,218,203
73,204,218
74,219,734
75,219,265
76,203,499
77,219,483
78,187,204
79,203,204
80,203,219
81,203,218
82,203,203
83,204,218
84,203,203
85,234,329
86,219,313
87,234,359
88,203,266
89,203,280
90,218,218
91,218,297
92,202,390
93,203,202
94,202,189
95,203,218
96,203,203
97,203,203
98,219,640
99,188,312
100,203,359
101,202,203
102,219,219
103,220,280
104,203,218
105,218,203
106,203,203
107,219,421
108,204,202
109,203,203
110,204,452
111,218,312
112,203,218
113,220,405
114,203,219
115,203,203
116,203,219
117,203,312
118,202,203
119,203,251
120,203,219
121,218,188
122,205,202
123,202,203
124,218,203
125,218,750
126,202,375
127,203,235
128,203,219
129,203,219
130,203,265
131,203,533
132,218,203
133,203,235
134,204,203
135,219,203
136,218,578
137,202,407
138,220,203
139,203,203
140,203,218
141,203,218
142,203,204
