Request,Tiempo Actualizar,Tiempo Llave
1,203,513
2,203,266
3,203,174
4,203,205
5,204,203
6,202,204
7,188,424
8,203,594
9,203,469
10,203,281
11,187,203
12,203,343
13,202,204
14,189,218
15,203,219
16,202,203
17,205,235
18,203,220
19,204,204
20,189,486
21,203,219
22,202,208
23,203,212
24,202,200
25,211,189
26,197,235
27,206,207
28,206,200
29,204,238
30,205,250
31,203,236
32,190,203
33,218,188
34,209,204
35,187,203
36,203,205
37,202,218
38,205,453
39,203,203
40,203,219
41,218,531
42,203,218
43,188,406
44,218,250
45,173,180
46,208,279
47,226,200
48,214,205
49,236,200
50,204,484
51,204,203
52,188,203
53,204,202
54,203,249
55,188,203
56,203,218
57,203,220
58,204,219
59,205,203
60,189,297
61,203,204
62,203,422
63,203,219
64,219,188
65,205,203
66,203,296
67,203,218
68,202,173
69,203,281
70,202,204
71,203,218
72,203,203
73,203,828
74,204,531
75,205,203
76,188,203
77,205,657
78,205,219
79,203,281
80,203,203
81,203,234
82,203,204
83,203,235
84,204,202
85,204,218
86,203,584
87,203,204
88,204,218
89,204,358
90,202,203
91,204,203
92,203,203
93,203,218
94,218,250
95,202,204
96,202,219
97,203,188
98,189,202
99,210,202
100,204,280
101,203,250
102,176,206
103,228,204
104,208,281
105,203,204
106,204,421
107,203,203
108,202,203
109,203,189
110,218,329
111,219,218
112,204,219
113,205,203
114,188,234
115,188,220
116,203,203
117,203,219
118,219,219
119,208,367
120,192,231
121,203,203
122,203,204
123,203,328
124,203,374
125,218,328
126,219,469
127,219,616
128,203,219
129,208,210
130,220,376
131,219,203
132,187,267
133,203,221
134,203,202
135,218,251
136,203,219
137,203,812
138,203,203
139,204,218
